recipe,ingredient,quantity
Bún Quậy,Hành tím,3 củ
Bún Quậy,Tôm khô,100g
Bún Quậy,Bún khô sợi nhỏ,800g
Bún Quậy,Tắc trái,6 quả
Bún Quậy,Hành lá,2 cây
Bún Quậy,Ớt tươi,2 trái
Bún Quậy,RAU NÊM,Hành ngò cắt nhỏ
Bún Quậy,Gia vị,"Dầu ăn, đường, muối, tiêu, hành tím băm, sả băm"
Tôm Thịt Bọc Trứng Cút,Thịt nạc dăm xay,50g
Tôm Thịt Bọc Trứng Cút,Tôm hấp đông lạnh,100g
Tôm Thịt Bọc Trứng Cút,Giò sống,150g
Tôm Thịt Bọc Trứng Cút,Bắp Mỹ hạt,50g
Tôm Thịt Bọc Trứng Cút,Cà rốt băm nhỏ,30g
Tôm Thịt Bọc Trứng Cút,Cọng ngò rí băm,1M
Tôm Thịt Bọc Trứng Cút,Lòng trắng trứng gà,1 cái
Tôm Thịt Bọc Trứng Cút,Trứng cút,12 trứng
Tôm Thịt Bọc Trứng Cút,Vỏ chanh giấy,1m
Tôm Thịt Bọc Trứng Cút,Gia vị,"tiêu, tương ớt, dầu ăn"
Súp Thanh Cua Hạt Chia,Thanh cua,8 thanh
Súp Thanh Cua Hạt Chia,Nước dùng gà,1 lít
Súp Thanh Cua Hạt Chia,Trứng cút,10 trứng
Súp Thanh Cua Hạt Chia,Trứng gà,1 trứng
Súp Thanh Cua Hạt Chia,Hạt Chia,1M
Súp Thanh Cua Hạt Chia,Bắp Mỹ,1/2 trái
Súp Thanh Cua Hạt Chia,Bột năng,3M
Súp Thanh Cua Hạt Chia,RAU NÊM,ngò rí
Súp Thanh Cua Hạt Chia,Gia vị,"đường, dầu mè, tiêu xay, muối"
Bánh Trứng Phô Mai Rau Củ,Tôm thẻ,250g
Bánh Trứng Phô Mai Rau Củ,Bắp cải,60g
Bánh Trứng Phô Mai Rau Củ,Cà rốt,40g
Bánh Trứng Phô Mai Rau Củ,Bắp mỹ,40g
Bánh Trứng Phô Mai Rau Củ,Trứng gà,4 quả
Bánh Trứng Phô Mai Rau Củ,Đậu cô ve,30g
Bánh Trứng Phô Mai Rau Củ,Phô mai lát,5 lát
Bánh Trứng Phô Mai Rau Củ,Húng lủi,1m
Bánh Trứng Phô Mai Rau Củ,Gia vị,"Dầu ăn, tương cà"
Hoành Thánh Hoa Hồng,Tôm tươi,200g
Hoành Thánh Hoa Hồng,Giò sống,100g
Hoành Thánh Hoa Hồng,Bắp Mỹ,50g
Hoành Thánh Hoa Hồng,Cà rốt,30g
Hoành Thánh Hoa Hồng,Nấm mèo ngâm nở,30g
Hoành Thánh Hoa Hồng,Hành lá,2 cây
Hoành Thánh Hoa Hồng,Hành tím băm,2M
Hoành Thánh Hoa Hồng,Lá hoành thánh,150g
Hoành Thánh Hoa Hồng,Gia vị,"Dầu ăn, đường, tiêu xay, tương ớt xí muội, tương ớt"
Chả Khoanh Hành Tây,Tôm sú bóc vỏ,150g
Chả Khoanh Hành Tây,Thịt nạc vai xay,100g
Chả Khoanh Hành Tây,Đầu hành lá băm,1M
Chả Khoanh Hành Tây,Ớt sừng băm,1M
Chả Khoanh Hành Tây,Lá lốt,2M
Chả Khoanh Hành Tây,Hành tây,1 củ
Chả Khoanh Hành Tây,Tiêu xanh,1 nhánh
Chả Khoanh Hành Tây,Lòng trắng trứng,1 quả
Chả Khoanh Hành Tây,Gia vị,"tiêu, bột ngũ vị hương, bột nghệ, dầu ăn, tương ớt"
Vịt Om Nước Tương,Vịt,1/2 con (1kg)
Vịt Om Nước Tương,Trứng vịt,4 cái
Vịt Om Nước Tương,Nước dừa tươi,1 trái
Vịt Om Nước Tương,Hoa hồi,2 tai
Vịt Om Nước Tương,Hành tím,5 củ
Vịt Om Nước Tương,Gừng băm nhỏ,2M
Vịt Om Nước Tương,Tỏi củ,2 củ
Vịt Om Nước Tương,RAU NÊM,Rau quế cắt nhuyễn
Vịt Om Nước Tương,Gia vị,"Dầu ăn, tiêu trắng hạt, đường thốt nốt, muối, rượu, gừng"
Canh Đầu Cá Bớp,Đầu cá bớp,600g
Canh Đầu Cá Bớp,Cà chua,1 Trái
Canh Đầu Cá Bớp,Khóm,1/4 Trái
Canh Đầu Cá Bớp,Chuối chát,2 Trái
Canh Đầu Cá Bớp,Hành tím bào,20g
Canh Đầu Cá Bớp,Đầu hành lá,15g
Canh Đầu Cá Bớp,Ớt tươi,5 trái nhỏ
Canh Đầu Cá Bớp,RAU NÊM,"Rau răm, ngò gai, rau om, thơm, tất cả cắt khúc."
Canh Đầu Cá Bớp,Gia vị,"Dầu tỏi phi, tỏi phi, nước mắm"
Salad Cầu Vồng Ngày Hè,Thịt heo xá xíu,100g
Salad Cầu Vồng Ngày Hè,Mực ống tươi,150g
Salad Cầu Vồng Ngày Hè,Bưởi da xanh,2 múi
Salad Cầu Vồng Ngày Hè,Bơ sáp,1 trái
Salad Cầu Vồng Ngày Hè,Cà chua bi vàng và đỏ,150g
Salad Cầu Vồng Ngày Hè,Dưa leo,1 trái to
Salad Cầu Vồng Ngày Hè,Rau mầm xanh đỏ,100g
Salad Cầu Vồng Ngày Hè,Hạt thông rang,3M
Salad Cầu Vồng Ngày Hè,Chanh vàng to,1 quả
Salad Cầu Vồng Ngày Hè,Ớt sừng,1 quả
Salad Cầu Vồng Ngày Hè,Gia vị,"dầu olive, muối, đường, húng lủi, sả cây, gừng"
Nui Xào Chay Thập Cẩm,Đậu hũ chiên,1 miếng
Nui Xào Chay Thập Cẩm,Mì căn,2 cây
Nui Xào Chay Thập Cẩm,Nui xoắn rau củ,150g
Nui Xào Chay Thập Cẩm,Cần tây,100g
Nui Xào Chay Thập Cẩm,"Ớt chuông xanh, đỏ",100g
Nui Xào Chay Thập Cẩm,Cà chua,1 trái
Nui Xào Chay Thập Cẩm,Nấm đông cô tươi,50g
Nui Xào Chay Thập Cẩm,Hành boaro,2M
Nui Xào Chay Thập Cẩm,Ngò rí,2 cây
Nui Xào Chay Thập Cẩm,Gia vị,"Dầu ăn, đường, tương ớt, tương cà, tương cà ketchup, tiêu xay, dầu mè đen, muối"
Đậu Cove Xào Tim Gan,Tim heo,1/2 cái
Đậu Cove Xào Tim Gan,Gan heo,150g
Đậu Cove Xào Tim Gan,Đậu cove Nhật,150g
Đậu Cove Xào Tim Gan,Ớt chuông màu vàng đỏ,1/3 trái mỗi loại
Đậu Cove Xào Tim Gan,Thơm,1/2 trái
Đậu Cove Xào Tim Gan,Hành tây tím,1/2 củ nhỏ
Đậu Cove Xào Tim Gan,RAU NÊM,"Hành lá, ngò rí"
Đậu Cove Xào Tim Gan,Gia vị,"Hành tỏi băm, tiêu, dầu hào, bột năng, ớt sừng, ngò rí, dầu ăn, đường"
Pancake Sushi,Xúc xích tiệt trùng,6 cây
Pancake Sushi,Phô mai lát,6 miếng
Pancake Sushi,Chà bông,50g
Pancake Sushi,Gia vị,Tương cà
Canh Gà Nấm Mỡ,Thịt má đùi gà,2 miếng
Canh Gà Nấm Mỡ,Giò sống,60g
Canh Gà Nấm Mỡ,Tôm hấp đông lạnh to,50g
Canh Gà Nấm Mỡ,Nấm mỡ,200g
Canh Gà Nấm Mỡ,Cà rốt,1/2 củ
Canh Gà Nấm Mỡ,Hành tây tím,1/2 củ
Canh Gà Nấm Mỡ,Cọng hành lá,1 cây
Canh Gà Nấm Mỡ,Rau nêm,"Hành lá, ngò rí"
Canh Gà Nấm Mỡ,Gia vị,"tiêu, nước mắm"
Cơm Chiên Thập Cẩm,Cơm tấm,2 chén
Cơm Chiên Thập Cẩm,Nấm rơm búp,50g
Cơm Chiên Thập Cẩm,Nấm hương Sapa,5 tai
Cơm Chiên Thập Cẩm,Đậu Hà Lan,50g
Cơm Chiên Thập Cẩm,Củ cải muối sợi,50g
Cơm Chiên Thập Cẩm,Cà rốt,50g
Cơm Chiên Thập Cẩm,Đậu hủ trắng,1/2 miếng
Cơm Chiên Thập Cẩm,Tàu hũ ky lá,1 lá
Cơm Chiên Thập Cẩm,Chả lụa chay,50g
Cơm Chiên Thập Cẩm,Cần tây,1 cọng
Cơm Chiên Thập Cẩm,Bắp Mỹ luộc chín,1/2 chén
Cơm Chiên Thập Cẩm,Hành boaro,1 cọng
Cơm Chiên Thập Cẩm,Gia vị,"dầu mè, ớt hiểm xanh đỏ, tiêu, dầu ăn, ngò rí, đường"
Gỏi Cóc Tai Heo,Tai heo (không lấy phần mỡ),1 cái (350g)
Gỏi Cóc Tai Heo,Cóc xanh (non) bào vỏ,5 trái
Gỏi Cóc Tai Heo,Bánh tráng mè nướng,1 cái
Gỏi Cóc Tai Heo,Củ sen ngâm chua,100g
Gỏi Cóc Tai Heo,Cà rốt,100g
Gỏi Cóc Tai Heo,Ớt sừng băm,2M
Gỏi Cóc Tai Heo,Tỏi băm,1M
Gỏi Cóc Tai Heo,Hành tím,3 củ
Gỏi Cóc Tai Heo,RAU NÊM,"Rau quế, hành phi, mè trắng rang"
Gỏi Cóc Tai Heo,Gia vị,"Đường thốt nốt (bột), muối, nước mắm, đường"
Cồi Sò Điệp Xào Hoa Thiên Lý,Cồi điệp đông lạnh,150g
Cồi Sò Điệp Xào Hoa Thiên Lý,Hoa thiên lý,200g
Cồi Sò Điệp Xào Hoa Thiên Lý,Hoa điên điển,50g
Cồi Sò Điệp Xào Hoa Thiên Lý,Cà rốt,30g
Cồi Sò Điệp Xào Hoa Thiên Lý,Giá,100g
Cồi Sò Điệp Xào Hoa Thiên Lý,Ớt sừng,1 trái
Cồi Sò Điệp Xào Hoa Thiên Lý,Tỏi băm,2M
Cồi Sò Điệp Xào Hoa Thiên Lý,Ớt hiểm,1 trái
Cồi Sò Điệp Xào Hoa Thiên Lý,Nước chanh,1M
Cồi Sò Điệp Xào Hoa Thiên Lý,Gia vị,"nước mắm, đường, dầu ăn, tiêu, rượu, dầu hào"
Lưỡi Heo Trộn Kiệu Chua,Lưỡi heo,1 cái
Lưỡi Heo Trộn Kiệu Chua,Kiệu chua,150g
Lưỡi Heo Trộn Kiệu Chua,Ngó sen tươi,100g
Lưỡi Heo Trộn Kiệu Chua,Cà rốt,1/2 củ
Lưỡi Heo Trộn Kiệu Chua,Dưa leo,1 trái
Lưỡi Heo Trộn Kiệu Chua,Sả cây,3 cây
Lưỡi Heo Trộn Kiệu Chua,Nước dừa tươi,1 chén
Lưỡi Heo Trộn Kiệu Chua,RAU NÊM,"Rau răm, húng lủi, bánh phồng tôm"
Lưỡi Heo Trộn Kiệu Chua,Gia vị,"muối, đường, chanh, hành băm, tỏi băm, ớt băm, dầu, hành phi, mè rang"
Pancake Tôm Phô Mai,Tôm sú,150g
Pancake Tôm Phô Mai,Ớt chuông vàng,1/2 trái
Pancake Tôm Phô Mai,Cà chua,2 trái
Pancake Tôm Phô Mai,Hành tây,1/4 củ
Pancake Tôm Phô Mai,Phô mai lát,4 lát
Pancake Tôm Phô Mai,Dưa chuột muối,1 trái
Pancake Tôm Phô Mai,Tỏi băm,1M
Pancake Tôm Phô Mai,Bơ lạt,20g
Pancake Tôm Phô Mai,RAU NÊM,lá quế
Pancake Tôm Phô Mai,Gia vị,"tiêu, đường, tương cà"
Mẹt Hải Sản Chấm Muối Ngò Gai,Tôm sú,4 con
Mẹt Hải Sản Chấm Muối Ngò Gai,Bạch tuộc baby,8 con
Mẹt Hải Sản Chấm Muối Ngò Gai,Cá nục,2 con
Mẹt Hải Sản Chấm Muối Ngò Gai,Càng ghẹ,4 càng
Mẹt Hải Sản Chấm Muối Ngò Gai,Sò lông,8 con
Mẹt Hải Sản Chấm Muối Ngò Gai,Sữa đặc có đường,1M
Mẹt Hải Sản Chấm Muối Ngò Gai,Tắc trái,4 quả
Mẹt Hải Sản Chấm Muối Ngò Gai,Ngò gai,25g
Mẹt Hải Sản Chấm Muối Ngò Gai,Ngò rí,25g
Mẹt Hải Sản Chấm Muối Ngò Gai,Rau diếp cá,25g
Mẹt Hải Sản Chấm Muối Ngò Gai,Ớt hiểm xanh,5 quả
Mẹt Hải Sản Chấm Muối Ngò Gai,RAU NÊM,Rau răm
Mẹt Hải Sản Chấm Muối Ngò Gai,Gia vị,"dầu ăn, đường"
Chả Giò Cá Chẽm,Cá chẽm fillet,150g
Chả Giò Cá Chẽm,Ớt sừng cắt sợi,2 trái
Chả Giò Cá Chẽm,Nấm kim châm,100g
Chả Giò Cá Chẽm,Nấm đông cô tươi,30g
Chả Giò Cá Chẽm,Bánh tráng bò bía tươi,1 xấp
Chả Giò Cá Chẽm,Gừng cắt sợi,1 củ
Chả Giò Cá Chẽm,Trứng gà,1 quả
Chả Giò Cá Chẽm,Gia vị,"dầu ăn, tiêu"
Bún Bò Gân,Bắp bò,500g
Bún Bò Gân,Gân bò luộc sẵn,500g
Bún Bò Gân,Sả cây,10 cây
Bún Bò Gân,Sợi bún bò,1kg
Bún Bò Gân,Gừng,1 củ
Bún Bò Gân,RAU NÊM,"Rau răm, ớt sừng, ớt hiểm xanh đỏ, hành tây"
Rau Củ Xào Xốt Chay,Hành boaro (phần thân trắng),1 cây
Rau Củ Xào Xốt Chay,Kiệu chua,30g
Rau Củ Xào Xốt Chay,Xá bấu,20g
Rau Củ Xào Xốt Chay,Nước dừa xiêm,1 quả
Rau Củ Xào Xốt Chay,Bột năng,4M
Rau Củ Xào Xốt Chay,Cải thảo,100g
Rau Củ Xào Xốt Chay,Bắp non,100g
Rau Củ Xào Xốt Chay,Bông cải xanh,150g
Rau Củ Xào Xốt Chay,Bông cải trắng,300g
Rau Củ Xào Xốt Chay,Nấm rơm,100g
Rau Củ Xào Xốt Chay,Cà rốt,100g
Rau Củ Xào Xốt Chay,RAU NÊM,ngò rí
Rau Củ Xào Xốt Chay,Gia vị,"dầu ăn, dầu mè, dầu hào chay, tiêu, đường"
Cháo Hạt Sen Nấu Bò Viên,Gạo tẻ,100g
Cháo Hạt Sen Nấu Bò Viên,Gạo nếp,30g
Cháo Hạt Sen Nấu Bò Viên,Nước dùng gà,2 lít
Cháo Hạt Sen Nấu Bò Viên,Thịt bò xay,100g
Cháo Hạt Sen Nấu Bò Viên,Nấm đông cô khô,10g
Cháo Hạt Sen Nấu Bò Viên,Hạt sen tươi,100g
Cháo Hạt Sen Nấu Bò Viên,Cà rốt,100g
Cháo Hạt Sen Nấu Bò Viên,Hành tây,30g
Cháo Hạt Sen Nấu Bò Viên,Nấm đông cô tươi,50g
Cháo Hạt Sen Nấu Bò Viên,Giò sống,100g
Cháo Hạt Sen Nấu Bò Viên,RAU NÊM,"Gừng cắt sợi, hành lá, ngò rí, tiêu, hành phi"
Cháo Hạt Sen Nấu Bò Viên,Gia vị,"Tiêu xanh, gừng băm, tỏi, nước mắm, đường, dầu ăn"
Dê Xào Tía Tô Cà Bát,Thịt đùi dê,400g
Dê Xào Tía Tô Cà Bát,Cà bát,2 quả
Dê Xào Tía Tô Cà Bát,Ớt sừng,1 quả
Dê Xào Tía Tô Cà Bát,Hành tím lột vỏ,4 củ
Dê Xào Tía Tô Cà Bát,Gừng băm,1m
Dê Xào Tía Tô Cà Bát,Tỏi băm,1M
Dê Xào Tía Tô Cà Bát,Nước cốt dừa,1/2 chén
Dê Xào Tía Tô Cà Bát,Bột năng,1m
Dê Xào Tía Tô Cà Bát,Bột xù,2M
Dê Xào Tía Tô Cà Bát,RAU NÊM,"10 lá tía tô, 10 lá lốt"
Dê Xào Tía Tô Cà Bát,Gia vị,Dầu ăn
Heo Nướng Hàn Quốc,Thịt cổ heo,500g
Heo Nướng Hàn Quốc,Tỏi băm,2M
Heo Nướng Hàn Quốc,Nước gừng,1M
Heo Nướng Hàn Quốc,Hành lá,1 nhánh
Heo Nướng Hàn Quốc,Mè trắng rang,1M
Heo Nướng Hàn Quốc,Tương ớt Hàn Quốc (Gochujang),1M
Heo Nướng Hàn Quốc,Gia vị,"Dầu ăn, dầu mè, đường, tiêu đen bể"
Thịt Bò Nướng Mè Kiểu Hàn Quốc,Thịt thăn bò,600g
Thịt Bò Nướng Mè Kiểu Hàn Quốc,Gốc hành lá,10 gốc
Thịt Bò Nướng Mè Kiểu Hàn Quốc,Gừng,30g
Thịt Bò Nướng Mè Kiểu Hàn Quốc,Tỏi tép,50g
Thịt Bò Nướng Mè Kiểu Hàn Quốc,Mè trắng rang,50g
Thịt Bò Nướng Mè Kiểu Hàn Quốc,Cà rốt baby,50g
Thịt Bò Nướng Mè Kiểu Hàn Quốc,Bí đỏ hạt đậu,300g
Thịt Bò Nướng Mè Kiểu Hàn Quốc,Đậu bắp,200g
Thịt Bò Nướng Mè Kiểu Hàn Quốc,Gia vị,"đường, dầu ôliu, dầu ăn, dầu hào, dầu mè, tương ớt Hàn Quốc (Gojujang), ớt hiểm băm"
Gỏi Rau Mầm Tôm Mực,Tôm,150g
Gỏi Rau Mầm Tôm Mực,Mực,150g
Gỏi Rau Mầm Tôm Mực,Rau mầm,120g
Gỏi Rau Mầm Tôm Mực,Cà rốt,30g
Gỏi Rau Mầm Tôm Mực,Bơ lạt,1M
Gỏi Rau Mầm Tôm Mực,Tỏi băm,1M
Gỏi Rau Mầm Tôm Mực,Ớt băm,1m
Gỏi Rau Mầm Tôm Mực,Gia vị,"Tiêu, nước mắm, đường"
Cuốn Chả Chay,Lá tàu hủ kỷ yểu,2 lá lớn
Cuốn Chả Chay,Lá rong biển,4 lá
Cuốn Chả Chay,Giò sống chay,300g
Cuốn Chả Chay,Đậu hũ trắng,1 miếng
Cuốn Chả Chay,Cà rốt,100g
Cuốn Chả Chay,Cọng ngò rí,20g
Cuốn Chả Chay,Hành boaro phi.,10g
Cuốn Chả Chay,Tiêu xanh,
Cuốn Chả Chay,Gia vị,"Dầu ăn, đường"
Chả Cốm Tạo Hình,Giò sống,200g
Chả Cốm Tạo Hình,Tôm đông lạnh,150g
Chả Cốm Tạo Hình,Cốm Bắc tươi,150g
Chả Cốm Tạo Hình,Lòng trắng trứng gà,2 quả
Chả Cốm Tạo Hình,Bột xù,1 chén
Chả Cốm Tạo Hình,Tóp mỡ băm,1M
Chả Cốm Tạo Hình,Tắc chín,3 quả
Chả Cốm Tạo Hình,Lá sen,3 lá
Chả Cốm Tạo Hình,Trang trí,"lá sen, bông sen"
Chả Cốm Tạo Hình,Gia vị,"Tiêu, ớt sừng băm, hành tỏi băm, đầu hành lá băm, tương ớt, dầu ăn"
Gà Chiên Xá Xị,Cánh gà,4 cánh
Gà Chiên Xá Xị,Hành lá,1 nhánh
Gà Chiên Xá Xị,Tỏi băm,2M
Gà Chiên Xá Xị,Gừng mài,1m
Gà Chiên Xá Xị,Ớt khô,5 trái
Gà Chiên Xá Xị,Tương ớt Hàn Quốc (Gochujang),1M
Gà Chiên Xá Xị,Tương cà,1M
Gà Chiên Xá Xị,Mè trắng rang,1M
Gà Chiên Xá Xị,Nước ngọt xá xị,1 lon
Gà Chiên Xá Xị,Gia vị,dầu ăn
Salad Bí Đỏ,Đùi gà,300g
Salad Bí Đỏ,Bí đỏ baby,150g
Salad Bí Đỏ,Xà lách carol,100g
Salad Bí Đỏ,Cà chua bi,50g
Salad Bí Đỏ,Xà lách tím,50g
Salad Bí Đỏ,Hành tây,1/4 củ
Salad Bí Đỏ,Nước cốt chanh,3M
Salad Bí Đỏ,Vỏ chanh mài,1M
Salad Bí Đỏ,Bơ lạt,20g
Salad Bí Đỏ,RAU NÊM,lá húng lủi cắt rối
Salad Bí Đỏ,Gia vị,"mật ong, mù tạt vàng, muối, tiêu, dầu ôliu, xốt ớt Tabasco"
Ba Rọi Tẩm Trứng Chiên Giòn,Thịt ba chỉ,250g
Ba Rọi Tẩm Trứng Chiên Giòn,Trứng gà,2 quả
Ba Rọi Tẩm Trứng Chiên Giòn,Ngò rí,1m
Ba Rọi Tẩm Trứng Chiên Giòn,Mù tạt vàng,1m
Ba Rọi Tẩm Trứng Chiên Giòn,Gia vị,"Dầu ăn, tương ớt"
Gà Rim Ngũ Vị,Đùi tỏi gà,500g
Gà Rim Ngũ Vị,Sả cây,3 cây
Gà Rim Ngũ Vị,Hoa hồi,1 hoa
Gà Rim Ngũ Vị,Hành tỏi băm,1M
Gà Rim Ngũ Vị,Trang trí,"ớt sợi, cải mầm"
Gà Rim Ngũ Vị,Gia vị,"dầu điều, ngũ vị hương, mật ong, nước dừa tươi"
Cánh Gà Chiên Tỏi Lá Chanh,Cánh gà,600g
Cánh Gà Chiên Tỏi Lá Chanh,Nước chanh,3M
Cánh Gà Chiên Tỏi Lá Chanh,Tỏi xay,2M
Cánh Gà Chiên Tỏi Lá Chanh,Lá chanh,3 lá
Cánh Gà Chiên Tỏi Lá Chanh,Ớt sừng,1 trái
Cánh Gà Chiên Tỏi Lá Chanh,Hành tây,1/4 củ
Cánh Gà Chiên Tỏi Lá Chanh,Sả xay,1M
Cánh Gà Chiên Tỏi Lá Chanh,Mè trắng rang,1/2M
Cánh Gà Chiên Tỏi Lá Chanh,Gia vị,"đường, dầu ăn, nước mắm, mè trắng rang, ngũ vị hương, tiêu"
Trà Sữa Gạo Rang Thạch Matcha,"Trà Matcha Gạo Rang ""Blendy""",5 gói
Trà Sữa Gạo Rang Thạch Matcha,Bột matcha,1m
Trà Sữa Gạo Rang Thạch Matcha,Bột jelly,1m (3g)
Trà Sữa Gạo Rang Thạch Matcha,Bột rau câu giòn,1/3m (1g)
Trà Sữa Gạo Rang Thạch Matcha,Đá bi,150g
Trà Sữa Gạo Rang Thạch Matcha,RAU NÊM,lá húng lủi
Trà Sữa Gạo Rang Thạch Matcha,Gia vị,đường
Hải Sâm Xào Xốt Cay,Hải sâm,200g
Hải Sâm Xào Xốt Cay,Tôm sú,150g
Hải Sâm Xào Xốt Cay,"Ớt Đà Lạt xanh, vàng",100g
Hải Sâm Xào Xốt Cay,Gừng Lát,50g
Hải Sâm Xào Xốt Cay,Ớt sừng đỏ,1 Trái
Hải Sâm Xào Xốt Cay,Hành tây,1/2 Củ
Hải Sâm Xào Xốt Cay,Tỏi băm,1M
Hải Sâm Xào Xốt Cay,Gừng,20g
Hải Sâm Xào Xốt Cay,Gừng,20g
Hải Sâm Xào Xốt Cay,Ớt hiểm bằm,1.5M
Hải Sâm Xào Xốt Cay,RAU NÊM,"Ngò rí, hành lá cắt khúc"
Hải Sâm Xào Xốt Cay,Gia vị,"Dầu ăn, bột năng, đường, tương ớt Quảng Nam"
Bắp Bò Om Gừng Sả,Bắp bò,600g
Bắp Bò Om Gừng Sả,Gừng,30g
Bắp Bò Om Gừng Sả,Sả bằm,2M
Bắp Bò Om Gừng Sả,Tiêu xanh,30g
Bắp Bò Om Gừng Sả,Nước dừa tươi,1 trái
Bắp Bò Om Gừng Sả,Tỏi tép,7 tép
Bắp Bò Om Gừng Sả,Hành tím,10 củ
Bắp Bò Om Gừng Sả,RAU NÊM,Lá gừng cắt nhuyễn.
Bắp Bò Om Gừng Sả,Gia vị,"Dầu ăn, dầu hào, muối, bột ngũ vị hương"
Mực Nhồi Tôm Xốt Tiêu Xanh,Mực ống,500g
Mực Nhồi Tôm Xốt Tiêu Xanh,Tôm đất,100g
Mực Nhồi Tôm Xốt Tiêu Xanh,Giò sống,100g
Mực Nhồi Tôm Xốt Tiêu Xanh,Tiêu xanh,2 nhánh
Mực Nhồi Tôm Xốt Tiêu Xanh,Gừng tươi,1 củ nhỏ
Mực Nhồi Tôm Xốt Tiêu Xanh,Hành tỏi băm,2M
Mực Nhồi Tôm Xốt Tiêu Xanh,Nấm nút hộp,120g
Mực Nhồi Tôm Xốt Tiêu Xanh,Nước dừa,1 chén
Mực Nhồi Tôm Xốt Tiêu Xanh,RAU NÊM,"Hành lá, ngò rí"
Mực Nhồi Tôm Xốt Tiêu Xanh,Gia vị,"Dầu điều, bột năng, đường"
Ốc Bươu Xào Tiêu Xanh,Ốc lác,400g
Ốc Bươu Xào Tiêu Xanh,Tiêu xanh,30g
Ốc Bươu Xào Tiêu Xanh,Hành tây,1/2 củ
Ốc Bươu Xào Tiêu Xanh,Ớt hiểm,3 Trái
Ốc Bươu Xào Tiêu Xanh,Nghệ tươi,35g
Ốc Bươu Xào Tiêu Xanh,Tỏi băm,1M
Ốc Bươu Xào Tiêu Xanh,RAU NÊM,"Ngò gai, rau quế."
Ốc Bươu Xào Tiêu Xanh,Gia vị,"Dầu ăn, đường, dầu hào, nước tương, sa tế"
Cá Chim Nướng Ớt Xiêm,Cá chim trắng,500g
Cá Chim Nướng Ớt Xiêm,Ớt vảy khô,1m
Cá Chim Nướng Ớt Xiêm,Hành tím băm,1M
Cá Chim Nướng Ớt Xiêm,Ớt xiêm,5 trái
Cá Chim Nướng Ớt Xiêm,Ngò gai,2 lá
Cá Chim Nướng Ớt Xiêm,Hành lá,2 cây
Cá Chim Nướng Ớt Xiêm,Lá chuối hoặc giấy bạc,
Cá Chim Nướng Ớt Xiêm,Gia vị,"Tiêu, dầu ăn"
Tôm Chiên Dừa Xốt Bạc Hà,Tôm sú,500g
Tôm Chiên Dừa Xốt Bạc Hà,Dừa sấy,70g
Tôm Chiên Dừa Xốt Bạc Hà,Lá húng lủi,1M
Tôm Chiên Dừa Xốt Bạc Hà,Nước cốt chanh,2.5M
Tôm Chiên Dừa Xốt Bạc Hà,Vỏ chanh mài,1m
Tôm Chiên Dừa Xốt Bạc Hà,Ớt bột,
Tôm Chiên Dừa Xốt Bạc Hà,Sữa đặc,1M
Tôm Chiên Dừa Xốt Bạc Hà,Mù tạc xanh,1/2m
Tôm Chiên Dừa Xốt Bạc Hà,Gia vị,dầu ăn
Canh Cá Hanh Vị Thái,Cá hanh,800g
Canh Cá Hanh Vị Thái,Mỡ gáy heo,100g
Canh Cá Hanh Vị Thái,Đậu rồng,5 trái
Canh Cá Hanh Vị Thái,Cà bi,50g
Canh Cá Hanh Vị Thái,Ngó sen,200g
Canh Cá Hanh Vị Thái,"Lá lốt, rau răm, rau quế",
Canh Cá Hanh Vị Thái,Gia vị,"Ớt sừng, nước mắm, tỏi băm"
Trà Sữa Royal Cookies,"Trà sữa Royal ""Blendy""",2 gói
Trà Sữa Royal Cookies,Bánh cookie,3 cái
Trà Sữa Royal Cookies,Whipping cream,100ml
Trà Sữa Royal Cookies,Đá bào,180g
Trà Sữa Royal Cookies,Bánh quế,2 cây
Rong Biển Cuộn Nấm Kim Châm,Tôm sú bóc vỏ,70g
Rong Biển Cuộn Nấm Kim Châm,Thịt heo xay,100g
Rong Biển Cuộn Nấm Kim Châm,Mọc,50g
Rong Biển Cuộn Nấm Kim Châm,Nước chanh,1M
Rong Biển Cuộn Nấm Kim Châm,Nấm hương,3 tai
Rong Biển Cuộn Nấm Kim Châm,Gừng băm,2M
Rong Biển Cuộn Nấm Kim Châm,Rong biển,4 lá
Rong Biển Cuộn Nấm Kim Châm,Nấm kim châm,80g
Rong Biển Cuộn Nấm Kim Châm,RAU NÊM,"Ớt sừng băm, 1M đầu hành lá băm"
Rong Biển Cuộn Nấm Kim Châm,Gia vị,"Dầu, tiêu, tương ớt, rượu trắng"
Salad Bơ Gà Nướng,Má đùi gà rút xương,4 cái
Salad Bơ Gà Nướng,Cà chua bi,100g
Salad Bơ Gà Nướng,Dưa leo,1 trái
Salad Bơ Gà Nướng,Salad Romaine,200g
Salad Bơ Gà Nướng,Hành tây tím,1/2 củ
Salad Bơ Gà Nướng,Bơ sáp (ruột vàng),1/2 trái
Salad Bơ Gà Nướng,Bắp Mỹ hạt,100g
Salad Bơ Gà Nướng,Lá chanh Thái (lá chúc),10 lá
Salad Bơ Gà Nướng,Vỏ chanh vàng mài,1M
Salad Bơ Gà Nướng,Gia vị,"Muối, tương ớt, tiêu, nước tỏi, đường, mật ong, ớt sừng cắt sợi, nước cốt chanh"
Sườn Non Xào Chanh Sả,Sườn non,600g
